GGG-256,1,2023-10-05 13:27:24,Kihajtás
GGG-258,P2,2023-10-05 13:27:36,Behajtás
GGG-257,P3,2023-10-05 13:27:40,Behajtás
GGG-256,P4,2023-10-05 13:27:48,Behajtás
GGG-257,2,2023-10-05 13:27:54,Kihajtás
TTT-895,P1,2023-10-05 13:29:00,Behajtás
TTT-895,1,2023-10-05 13:29:22,Kihajtás
TTT-895,P2,2023-10-05 13:29:30,Behajtás
TTR-542,P1,2023-10-05 13:32:56,Behajtás
TTR-542,1,2023-10-05 13:33:16,Kihajtás
TRG-568,P1,2023-10-05 13:36:17,Behajtás
ZTH- 321,P1,2023-10-05 13:37:22,Behajtás
ZTH- 321,1,2023-10-05 13:37:24,Kihajtás
TGR-785,P1,2023-10-05 13:38:40,Behajtás,0
TGR-785,1,2023-10-05 13:39:21,Kihajtás,6
EGR-785,P2,2023-10-05 13:40:02,Behajtás,0
EGR-785,1,2023-10-05 13:40:55,Kihajtás,8
EGR-788,P3,2023-10-05 13:42:35,Behajtás,0
EGD-788,P4,2023-10-05 13:42:44,Behajtás,0
EGD-777,P5,2023-10-05 13:42:52,Behajtás,0
EZD-777,VIP1,2023-10-05 13:44:04,Behajtás,0
EZD-778,VIP2,2023-10-05 13:44:16,Behajtás,0
EZD-888,VIP3,2023-10-05 13:44:22,Behajtás,0
EZD-999,,2023-10-05 13:44:29,Behajtás,0
DDD-123,P1,2023-10-05 13:47:36,Behajtás,0
DDD-123,1,2023-10-05 13:47:39,Kihajtás,0
DDD-123,P2,2023-10-05 13:47:42,Behajtás,0
DDD-123,1,2023-10-05 13:48:02,Kihajtás,4
GTH-876,P1,2023-10-05 13:52:15,Behajtás
GTH-876,P1,2023-10-05 13:52:40,Kihajtás
DDR-875,P1,2023-10-05 13:53:15,Behajtás
DDR-899,P2,2023-10-05 13:53:25,Behajtás
KDR-77,P3,2023-10-05 13:53:37,Behajtás
DDR-899,P2,2023-10-05 13:53:57,Kihajtás
